product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
Adirondack Chair,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","circular saw, hammer, tape measure, clamps, level",3691,1701,YES,1-2 days,3
Floating Shelves,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","band saw, drill press, orbital sander, clamps, chisel, mallet",1120,503,YES,2-4 hours,0
Curio Cabinet,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","hand saw, hammer, tape measure, sandpaper, clamps",6980,2773,YES,3-5 days,0
Wine Rack,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",1045,370,YES,4-8 hours,0
Changing Table,bedroom,Intermediate,"pine boards, wood screws, sandpaper, wood stain","miter saw, drill, orbital sander, clamps, router, level",2958,987,YES,2-3 days,3
Chaise Lounge,seating,Advanced,"hardwood lumber, mortise joints, wood glue, varnish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",9576,2594,YES,3-5 days,0
End Table,tables,Beginner,"oak lumber, dowels, wood glue, varnish","hand saw, hammer, tape measure, sandpaper, clamps",852,289,YES,4-8 hours,0
Pallet Furniture,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","circular saw, router, orbital sander, drill, clamps, tape measure",1394,617,YES,1-2 days,1
Trellis,outdoor,Beginner,"pine boards, outdoor screws, weather sealant, sandpaper","circular saw, hammer, tape measure, clamps, level",551,260,YES,3-6 hours,0
Window Seat,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","hand saw, hammer, tape measure, sandpaper, clamps",2542,1282,YES,2-3 days,3
Workbench,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","circular saw, router, orbital sander, drill, clamps, tape measure",2856,980,YES,2-3 days,3
Wine Rack,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, drill, orbital sander, clamps, router, square",995,512,NO,4-8 hours,1
Wall Art / Wood Carving,decorative,Intermediate,"hardwood scraps, epoxy resin, sandpaper, oil finish","miter saw, drill, orbital sander, clamps, router, level",2474,806,YES,1-3 days,0
Dog House,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","hand saw, hammer, tape measure, sandpaper, clamps",2148,998,YES,1-2 days,0
Gazebo,outdoor,Advanced,"cedar boards, stainless screws, teak oil, sandpaper","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",7885,3218,YES,5-7 days,0
Knife Block,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","table saw, drill, orbital sander, clamps, router, square",390,184,NO,2-3 hours,1
China Cabinet,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",5134,2284,YES,4-6 days,0
Wardrobe,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",9233,2335,YES,4-6 days,0
Trellis,outdoor,Beginner,"pine boards, outdoor screws, weather sealant, sandpaper","hand saw, hammer, tape measure, sandpaper, clamps",386,233,YES,3-6 hours,2
Floating Shelves,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","circular saw, hammer, tape measure, clamps, level",995,507,YES,2-4 hours,0
Knife Block,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","jigsaw, drill, tape measure, sandpaper, square",712,261,NO,2-3 hours,3
Jewelry Box,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","jigsaw, drill, tape measure, sandpaper, square",723,316,NO,4-8 hours,2
Planter Box,outdoor,Intermediate,"cedar boards, stainless screws, teak oil, sandpaper","table saw, drill, orbital sander, clamps, router, square",675,320,YES,4-8 hours,3
Changing Table,bedroom,Intermediate,"plywood sheets, pine trim, wood screws, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",3178,1243,YES,2-3 days,3
Mirror Frame,decorative,Beginner,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",564,258,YES,2-4 hours,3
Butcher Block Countertop,tables,Advanced,"oak lumber, dowels, wood glue, varnish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",8403,3575,YES,2-4 days,1
Pet Ramp,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","band saw, drill press, orbital sander, clamps, chisel, mallet",748,223,YES,3-6 hours,0
Bench,seating,Intermediate,"meranti boards, dowels, sandpaper, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",2689,865,YES,1-2 days,3
Memory Box / Hope Chest,storage,Advanced,"reclaimed wood, brackets, nails, linseed oil","table saw, jointer, planer, router, drill press, orbital sander, clamps",4079,1384,YES,1-2 days,0
Birdhouse,outdoor,Beginner,"cedar boards, stainless screws, teak oil, sandpaper","jigsaw, drill, tape measure, sandpaper, square",406,191,NO,2-4 hours,2
Folding Table,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","band saw, drill press, orbital sander, clamps, chisel, mallet",3129,966,YES,1-2 days,1
Arbor,outdoor,Advanced,"reclaimed timber, galvanised brackets, outdoor stain, nails","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",2179,1135,YES,1-2 days,0
Serving Tray,decorative,Beginner,"walnut off-cuts, danish oil, sandpaper, beeswax","hand saw, chisel, mallet, sandpaper, tape measure",343,147,YES,2-4 hours,3
Bookshelf,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","jigsaw, drill, tape measure, sandpaper, square",1317,430,YES,1-2 days,0
Changing Table,bedroom,Beginner,"oak lumber, dowels, wood glue, varnish","circular saw, hammer, tape measure, clamps, level",5094,2016,YES,2-3 days,1
Storage Bench,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",2855,814,YES,1-2 days,0
Bed Frame,bedroom,Advanced,"meranti boards, pocket screws, sandpaper, lacquer","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",4684,1277,NO,2-3 days,3
Armchair,seating,Advanced,"meranti boards, dowels, sandpaper, paint","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",7233,3057,YES,3-4 days,3
Coat Rack,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","circular saw, hammer, tape measure, clamps, level",480,271,YES,2-4 hours,0
Pet Ramp,outdoor,Beginner,"cedar boards, stainless screws, teak oil, sandpaper","hand saw, chisel, mallet, sandpaper, tape measure",452,265,YES,3-6 hours,0
Curio Cabinet,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","band saw, drill press, orbital sander, clamps, chisel, mallet",7690,2258,YES,3-5 days,3
Folding Chair,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","circular saw, router, orbital sander, drill, clamps, tape measure",2042,875,YES,1-2 days,1
Sideboard / Buffet,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","circular saw, router, orbital sander, drill, clamps, tape measure",5208,2555,YES,3-5 days,1
Sideboard / Buffet,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","table saw, jointer, planer, router, drill press, orbital sander, clamps",3502,1372,YES,3-5 days,0
Butcher Block Countertop,tables,Advanced,"oak lumber, dowels, wood glue, varnish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",9323,3066,NO,2-4 days,1
Cutting Board,decorative,Beginner,"pine boards, router bits, sandpaper, lacquer","circular saw, hammer, tape measure, clamps, level",298,115,YES,2-4 hours,0
Dollhouse,kids,Advanced,"pine boards, non-toxic paint, sandpaper, wood glue","table saw, jointer, planer, router, drill press, orbital sander, clamps",5575,1993,YES,3-5 days,3
Wooden Sign,decorative,Beginner,"walnut off-cuts, danish oil, sandpaper, beeswax","circular saw, hammer, tape measure, clamps, level",300,95,YES,2-4 hours,0
Workbench,tables,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, drill, orbital sander, clamps, router, square",2869,1442,YES,2-3 days,0
Bench with Backrest,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","miter saw, drill, orbital sander, clamps, router, level",4176,1482,YES,1-2 days,0
Planter Box,outdoor,Beginner,"pine boards, outdoor screws, weather sealant, sandpaper","circular saw, hammer, tape measure, clamps, level",1005,501,YES,4-8 hours,2
High Chair,seating,Intermediate,"meranti boards, dowels, sandpaper, paint","miter saw, drill, orbital sander, clamps, router, level",4152,1432,NO,2-3 days,2
High Chair,seating,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",5076,1823,YES,2-3 days,1
Workbench,tables,Advanced,"plywood sheets, hardwood edge banding, wood screws, lacquer","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",2971,1324,YES,2-3 days,0
Window Seat,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",4207,1515,YES,2-3 days,2
Stool,seating,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, hammer, tape measure, sandpaper, clamps",1064,556,YES,3-5 hours,0
Bed Frame,bedroom,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",6250,2809,YES,2-3 days,0
Folding Chair,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","miter saw, drill, orbital sander, clamps, router, level",2671,808,YES,1-2 days,3
Toy Box,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","circular saw, hammer, tape measure, clamps, level",1166,611,YES,1-2 days,2
Toy Box,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",796,253,YES,1-2 days,0
China Cabinet,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",8014,2602,NO,4-6 days,3
Porch Swing,seating,Intermediate,"pine boards, pocket screws, wood filler, polyurethane","band saw, drill press, orbital sander, clamps, chisel, mallet",3983,1499,YES,1-2 days,0
Loft Bed,bedroom,Advanced,"plywood sheets, pine trim, wood screws, paint","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",8046,2491,YES,3-5 days,0
Sideboard / Buffet,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",3994,2200,YES,3-5 days,3
Bookcase,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","miter saw, drill, orbital sander, clamps, router, level",4920,1663,YES,1-2 days,0
High Chair,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","band saw, drill press, orbital sander, clamps, chisel, mallet",5819,2069,YES,2-3 days,3
Standing Desk,tables,Advanced,"pine boards, metal legs, wood glue, wood oil","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",6678,1919,YES,2-3 days,0
Stool,seating,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, hammer, tape measure, sandpaper, clamps",495,172,YES,3-5 hours,0
Mirror Frame,decorative,Beginner,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","jigsaw, drill, tape measure, sandpaper, square",333,167,YES,2-4 hours,0
Pergola,outdoor,Advanced,"reclaimed timber, galvanised brackets, outdoor stain, nails","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",12625,4082,YES,3-5 days,2
Clock,decorative,Beginner,"hardwood scraps, epoxy resin, sandpaper, oil finish","hand saw, hammer, tape measure, sandpaper, clamps",1057,374,YES,4-8 hours,0
Dresser,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",7162,2385,YES,3-5 days,0
Outdoor Lounge Chair,seating,Intermediate,"hardwood lumber, mortise joints, wood glue, varnish","table saw, drill, orbital sander, clamps, router, square",3937,1298,NO,1-2 days,2
Toolbox,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","circular saw, hammer, tape measure, clamps, level",1554,539,YES,1-2 days,3
Workbench Vise Mounting,workshop,Intermediate,"pine boards, wood screws, sandpaper, linseed oil","miter saw, drill, orbital sander, clamps, router, level",2002,804,YES,4-8 hours,0
Gazebo,outdoor,Intermediate,"treated pine, galvanised screws, outdoor paint, sandpaper","circular saw, router, orbital sander, drill, clamps, tape measure",17838,4842,YES,5-7 days,0
Serving Tray,decorative,Beginner,"hardwood scraps, epoxy resin, sandpaper, oil finish","hand saw, hammer, tape measure, sandpaper, clamps",622,237,YES,2-4 hours,0
Changing Table,bedroom,Intermediate,"plywood sheets, pine trim, wood screws, paint","circular saw, router, orbital sander, drill, clamps, tape measure",4450,1770,YES,2-3 days,2
Footboard,bedroom,Beginner,"oak lumber, dowels, wood glue, varnish","hand saw, chisel, mallet, sandpaper, tape measure",1245,505,YES,4-8 hours,0
Planter Box,outdoor,Beginner,"reclaimed timber, galvanised brackets, outdoor stain, nails","circular saw, hammer, tape measure, clamps, level",815,259,YES,4-8 hours,0
China Cabinet,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","circular saw, router, orbital sander, drill, clamps, tape measure",9108,3351,YES,4-6 days,1
Spice Rack,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","miter saw, drill, orbital sander, clamps, router, level",388,128,YES,2-4 hours,3
Raised Garden Bed,outdoor,Advanced,"treated pine, galvanised screws, outdoor paint, sandpaper","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",1517,642,YES,1-2 days,1
Dining Chair,seating,Intermediate,"pine boards, pocket screws, wood filler, polyurethane","circular saw, router, orbital sander, drill, clamps, tape measure",2973,1520,YES,1-2 days,0
Wine Rack,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",832,409,YES,4-8 hours,0
Step Stool,seating,Beginner,"meranti boards, dowels, sandpaper, paint","hand saw, chisel, mallet, sandpaper, tape measure",606,237,YES,4-8 hours,3
Adirondack Chair,seating,Intermediate,"hardwood lumber, mortise joints, wood glue, varnish","band saw, drill press, orbital sander, clamps, chisel, mallet",5220,1695,YES,1-2 days,0
Sawhorse,workshop,Beginner,"pine boards, wood screws, sandpaper, linseed oil","circular saw, hammer, tape measure, clamps, level",759,368,YES,3-5 hours,0
Writing Desk,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",2123,845,YES,1-2 days,0
Display Cabinet,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",6536,2423,YES,3-5 days,0
Patio Table,tables,Intermediate,"plywood sheets, hardwood edge banding, wood screws, lacquer","table saw, drill, orbital sander, clamps, router, square",2475,1041,YES,1-2 days,3
Dresser,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",5491,1647,NO,3-5 days,1
Outdoor Lounge Chair,seating,Advanced,"pine boards, wood screws, sandpaper, wood stain","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",4055,1558,YES,1-2 days,0
Utensil Holder,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","table saw, drill, orbital sander, clamps, router, square",292,93,YES,1-2 hours,1
Crib,bedroom,Advanced,"oak lumber, dowels, wood glue, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",7546,2678,YES,3-5 days,3
Ladder Shelf,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","hand saw, chisel, mallet, sandpaper, tape measure",747,276,NO,4-8 hours,1
Standing Desk,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",6449,2575,YES,2-3 days,0
Bench with Backrest,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, drill, orbital sander, clamps, router, square",2138,863,YES,1-2 days,0
Footboard,bedroom,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",1661,636,YES,4-8 hours,3
Curio Cabinet,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","band saw, drill press, orbital sander, clamps, chisel, mallet",4942,1892,NO,3-5 days,2
Mirror Frame,decorative,Beginner,"walnut off-cuts, danish oil, sandpaper, beeswax","jigsaw, drill, tape measure, sandpaper, square",769,333,NO,2-4 hours,2
Folding Chair,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","table saw, drill, orbital sander, clamps, router, square",1887,688,YES,1-2 days,0
Keepsake Box,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","hand saw, chisel, mallet, sandpaper, tape measure",873,340,YES,2-4 hours,0
Linen Press,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",11434,3732,NO,4-6 days,3
Workbench,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","band saw, drill press, orbital sander, clamps, chisel, mallet",3608,1487,NO,2-3 days,1
Cutting Board,decorative,Intermediate,"pine off-cuts, nails, sandpaper, paint","miter saw, drill, orbital sander, clamps, router, level",383,173,YES,2-4 hours,3
Linen Press,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",12766,4246,YES,4-6 days,2
Ottoman,seating,Beginner,"meranti boards, dowels, sandpaper, paint","jigsaw, drill, tape measure, sandpaper, square",3082,1352,YES,1-2 days,0
Bar Stool,seating,Intermediate,"meranti boards, dowels, sandpaper, paint","miter saw, drill, orbital sander, clamps, router, level",2528,1004,NO,1-2 days,1
Bunk Bed,bedroom,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, drill, orbital sander, clamps, router, square",7255,3007,YES,3-5 days,0
Curio Cabinet,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",9874,3034,NO,3-5 days,1
Bookcase,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",2720,1133,YES,1-2 days,1
Picnic Table,tables,Beginner,"plywood sheets, hardwood edge banding, wood screws, lacquer","jigsaw, drill, tape measure, sandpaper, square",3675,1629,YES,1-2 days,0
Outdoor Lounge Chair,seating,Advanced,"hardwood lumber, mortise joints, wood glue, varnish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",4222,1913,YES,1-2 days,3
Nightstand,bedroom,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",1061,437,YES,4-8 hours,0
Changing Table,bedroom,Intermediate,"oak lumber, dowels, wood glue, varnish","band saw, drill press, orbital sander, clamps, chisel, mallet",3118,1038,YES,2-3 days,0
Spice Rack,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","band saw, drill press, orbital sander, clamps, chisel, mallet",764,256,YES,2-4 hours,0
Workbench Vise Mounting,workshop,Beginner,"meranti boards, lag screws, sandpaper, wood stain","jigsaw, drill, tape measure, sandpaper, square",1021,414,YES,4-8 hours,0
Display Cabinet,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",10021,2873,YES,3-5 days,3
Chest of Drawers,storage,Advanced,"reclaimed wood, brackets, nails, linseed oil","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",5632,2941,NO,3-4 days,2
Console Table,tables,Advanced,"oak lumber, dowels, wood glue, varnish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",2172,1120,NO,1-2 days,1
Console Table,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","band saw, drill press, orbital sander, clamps, chisel, mallet",1870,778,YES,1-2 days,2
Wall Art / Wood Carving,decorative,Intermediate,"pine off-cuts, nails, sandpaper, paint","miter saw, drill, orbital sander, clamps, router, level",1570,424,YES,1-3 days,1
High Chair,seating,Advanced,"pine boards, wood screws, sandpaper, wood stain","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",3836,1135,NO,2-3 days,2
Bench,seating,Beginner,"pine boards, pocket screws, wood filler, polyurethane","circular saw, hammer, tape measure, clamps, level",1582,746,YES,1-2 days,0
Bird Feeder,outdoor,Beginner,"pine boards, outdoor screws, weather sealant, sandpaper","circular saw, hammer, tape measure, clamps, level",309,152,YES,1-3 hours,0
Secretary Desk,tables,Beginner,"plywood sheets, hardwood edge banding, wood screws, lacquer","hand saw, hammer, tape measure, sandpaper, clamps",6006,2801,YES,3-5 days,0
Standing Desk,tables,Advanced,"pine boards, wood screws, sandpaper, wood stain","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",5538,2553,NO,2-3 days,2
Trellis,outdoor,Beginner,"meranti boards, exterior glue, galvanised nails, wood preservative","hand saw, hammer, tape measure, sandpaper, clamps",649,256,NO,3-6 hours,2
Dog House,outdoor,Advanced,"meranti boards, exterior glue, galvanised nails, wood preservative","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",3382,1093,YES,1-2 days,2
Standing Desk,tables,Advanced,"pine boards, metal legs, wood glue, wood oil","table saw, jointer, planer, router, drill press, orbital sander, clamps",8688,2255,YES,2-3 days,0
Credenza,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",6779,2771,YES,3-5 days,0
Toy Box,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","jigsaw, drill, tape measure, sandpaper, square",748,340,YES,1-2 days,0
Workbench Vise Mounting,workshop,Intermediate,"pine boards, wood screws, sandpaper, linseed oil","circular saw, router, orbital sander, drill, clamps, tape measure",1332,684,NO,4-8 hours,2
Wall-Mounted Shelves,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","table saw, jointer, planer, router, drill press, orbital sander, clamps",1122,409,YES,2-4 hours,0
Sideboard / Buffet,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","miter saw, drill, orbital sander, clamps, router, level",7574,3665,YES,3-5 days,1
Coat Rack,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","jigsaw, drill, tape measure, sandpaper, square",538,303,YES,2-4 hours,0
Dining Table,tables,Advanced,"pine boards, metal legs, wood glue, wood oil","table saw, jointer, planer, router, drill press, orbital sander, clamps",6254,1972,YES,2-4 days,0
Picnic Table,tables,Beginner,"pine boards, metal legs, wood glue, wood oil","hand saw, hammer, tape measure, sandpaper, clamps",4078,1631,YES,1-2 days,0
